corp,stock_code,sector,year,ebitda_margin,ebitda_to_interest_expense,debt_ratio,dependence_on_net_borrowings,net_borrowings_to_ebitda,revenue,cogs,selling_general_administrative_expenses,ebit,ebit_margin,ebitda_to_sales_revenue,total_assets,return_on_assets,ebitda,financial_expenses,corporate_tax,operating_cash_flow,free_cash_flow,total_liabilities,total_equity,total_borrowings,net_borrowings,borrowing_dependency,total_borrowings_to_ebitda,debt_to_net_income_ratio,total_assets_leverage,current_liabilities,working_capital,current_liabilities_ratio,quick_assets,quick_ratio,cash_and_cash_equivalents,short_term_borrowings,days_sales_outstanding,market_capitalization,minimum_wage,us_kor_exchange_avg,ppi_year,kor_usa_ir_diff,kr_standard_yield,rank,count,rating,paywellfare,worklifebal,culture,opportunity,manager,recommend,ceo,potential,crb_index_avg,gross_profit_margin,operating_profit_margin,net_profit_margin,return_on_equity,return_on_invested_capital,current_ratio,non_current_debt_ratio,equity_ratio,interest_coverage_ratio,debt_to_equity_ratio,net_debt_ratio,retention_ratio,earnings_per_share,book_value_per_share,price_earnings_ratio,price_to_book_ratio,price_cash_flow_ratio,enterprise_value_to_ebitda,operating_income,net_income,tangible_assets,total_asset_turnover,net_working_capital_turnover,tangible_asset_turnover,accounts_receivable_turnover,inventory_turnover,accounts_payable_turnover
AJ네트웍스,095570,서비스업,2018,-4.725704166965969,-123.46466810687527,423.6066928674466,17.80034299863097,-927.7430424313941,1045526121935,1066762174017,1066760000,-49408471511,-4.725704166965969,-4.725704166965969,2575139461359,1.447255303925629,-49408471511,40018308289,6391243036,-83538855287,-38978560523,2083331488612,491807972747,511893519712,458383656815,19.878283385935696,-1036.044030623443,5590.008576407505,523.6066928674467,674454978990,-405696595353,250.95216374755265,217301561087,32.21883859652282,53509862897,257683028520,28.22972611612561,210934438975,7530,1100.58,103.48,-0.29,1.75,NULL,770,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2,198.61355172413795,-2.0311354863805344,100,3.56460174988502,7.5779256342337,-5.8724695957089645,39.84823183297826,96.4322139509059,19.098304388044834,2612.6194900207415,104.08402223591698,412.72645792572337,421.7321029288041,795.9635989222655,10503.713513978757,5.659806561631422,0.4288959322819085,-2.524985987063493,-13.546626222610167,1045526121935,37268842438,245055468592,40.60075726474386,-257.7113374652008,426.64876158129204,1292.9633057669014,2073.120960744204,2715.0479085518514
AJ네트웍스,095570,서비스업,2019,10.702040890691093,189.20998506382873,419.15967826133647,29.218728768020252,492.19734688544474,1000259401598,984610078914,984610000,107048170172,10.702040890691093,10.702040890691093,1803255225986,2.3362524478455096,107048170172,56576385298,4589777483,-37909433941,-82322628833,1455914070366,347341155620,649874465235,526888253476,36.03896197664731,607.086010149274,3455.880958177589,519.1596782613365,796062818789,-317263279101,166.26223561278655,420169967807,52.78100645953771,122986211759,291467302230,38.29519206745698,232706806150,8350,1166.11,103.5,-0.56,1.25,BBB,770,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2,187.79354406130267,1.5645264277445299,100,4.211766896736583,12.128880691607344,11.719851977405732,60.14594933806448,189.74917819932827,19.261896519949232,1767.9803973502696,187.09975904668755,383.7517774787554,471.8215730363059,899.7550068402243,7418.285575707043,5.523725861169403,0.6699661194326972,-6.138493297266614,7.095824789956878,1000259401598,42128594358,272817241977,55.469652170344844,-315.2773949863797,366.6408304510048,953.1222597266321,1679.374498781017,3024.2796449176367
AJ네트웍스,095570,서비스업,2020,-2.122140151027129,-41.37728337959038,451.433084198474,25.304777834821056,-2171.855532041055,871956093147,850866952296,850870000,-18504130352,-2.122140151027129,-2.122140151027129,1588170350000,-0.2088448586135612,-18504130352,44720505651,69792025066,17725957273,-79124735657,1300162539894,288007810106,471689717105,401882978706,29.700196651133805,-2549.105027537908,-39199.1614861205,551.433084198474,661160443861,-412605041253,266.0012363133884,214890726298,32.50205427340687,69806738399,262670778000,35.567225457299045,216084891425,8590,1180.01,103.03,0.29,0.5,BBB,770,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2,157.42230916030533,2.418601236546971,100,-0.38038751584718045,-1.1516396450427029,-12.798569983815412,37.59381023409431,205.29481577231797,18.134566616610115,1949.7903265042846,163.77671040635903,427.19529065624056,-5445.74601889374,-70.83830730638043,6151.082728986266,-65.1483664063261,0.7502744156329334,12.190308714900173,-33.39621254149929,871956093147,-3316812122,229558956116,54.903184230016635,-211.32948121502383,379.8397186936091,1026.225676327236,2527.4770042664936,2177.684361749785
AJ네트웍스,095570,서비스업,2021,2.2700026244668665,63.54156326998677,273.7949630560135,18.549363171986514,1127.6331858313179,981947656833,933875938995,933880000,22290237581,2.2700026244668665,2.2700026244668665,1355044449955,5.663071279879297,22290237581,35079775243,2061431242,-11318072318,-166397685961,992534361837,362510088118,336584135977,251352116164,24.839342797070437,1510.0069470049134,1293.4212187298347,373.7949630560135,525176778325,-251263872948,191.73130145225286,254177185738,48.39840530433834,85232019813,113290328000,34.662551091675596,253308615950,8720,1144.61,109.6,0.52,1,BBB,770,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2,222.12499233716474,4.8955478943798285,100,7.81478855222226,21.168275198460528,3.2953334148761435,52.156324628560014,128.92264210861666,26.75263443424595,2799.1845729654237,92.84821223166598,250.28333604020028,323.0834753282839,1638.9015761615274,7742.253730151416,3.3009913949016787,0.6987629427502883,-22.38089745611042,22.640437558376153,981947656833,76737133075,177684993354,72.46608455284324,-390.8033595566752,552.6339834882261,1053.009627117886,4731.907202155204,2168.887168566334
AJ네트웍스,095570,서비스업,2022,2.287603915507065,60.84330134624619,309.36814812973427,16.95657423061829,908.7488239873522,1208367577386,1132920190871,1132920000,27642664014,2.287603915507065,2.287603915507065,1481445371745,0.5919579990769644,27642664014,45432551164,15062903150,18324411864,42030706618,1119559529255,361885842490,383063782110,251202384146,25.8574355434239,1385.7701338626125,12766.464908425389,409.36814812973427,814364855406,-512895266305,270.1316765762291,276444852059,33.946068549480685,131861397964,209481577325,28.684292793485685,267823527400,9160,1292.2,118.78,0.23,3.25,BBB,770,2.68,2.6,3.06,2.74,2.52,2.26,1.3,1.37,1.2,304.6415576923077,6.243744695485084,100,0.7257340021461588,2.4232874985271993,2.051867955942465,37.01898321124171,77.81810928228889,24.42788977522224,2659.695628854517,105.85210503795412,272.930857005906,2791.8702276756458,187.29398847279913,7728.921499683003,30.540222068209737,0.7400773834013713,14.615668398403775,18.776262348778406,1208367577386,8769534380,166985381711,81.56679958861119,-235.59733473294102,723.6367429319713,1272.4734147285405,4527.201180853871,2048.2990865481247
AK홀딩스,006840,기타금융,2018,7.269978357898937,555.4971535166501,130.54051677938722,6.739078361266296,84.87300761982564,3711183102751,2665568343390,775896863306,269802208392,7.269978357898937,7.269978357898937,3397931239428,6.080770456255083,269802208392,48569503315,69155654847,317257800609,541859613125,1924033597965,1473897641463,740402164180,228989248887,21.78979243572444,274.42405627171803,931.192470791581,230.54051677938722,1331030390880,-24330124762,101.86195146606045,1079670337247,81.11537832980544,511412915293,453840493657,26.44124195529995,715368294000,7530,1100.58,103.48,-0.29,1.75,NULL,135,2.9,2.8,3,2.5,2.9,2.4,0.46,0.65,0.34,198.61355172413795,28.174701447253142,7.26770651264998,5.56750753628507,14.01863963401877,11.782729356954556,98.17208345288688,40.23367636957349,43.37632334523381,555.3235624126744,50.234300086474946,95.84252277314346,237.30399630955108,15596.863372133179,111258.03772203805,3.4622345988156487,0.4853581916922812,2.254848557314579,3.5001846297526504,269717896055,206620398931,1396079427555,109.21889941998155,-15253.44871452246,265.82893705772295,1380.4192731077007,1174.1043820282368,812.7604530367183
AK홀딩스,006840,기타금융,2019,2.188432858470809,101.32447439162502,198.96665201944833,31.601439971431066,1662.3497126914501,3759542062510,2832480228690,795724941961,82275053824,2.188432858470809,2.188432858470809,4327964555085,1.3573669917416002,82275053824,81199586100,70221657128,274189797509,493514119105,2880323312876,1447641242209,1652584586132,1367699120860,38.18387523969784,2008.6095472719508,4902.981564888227,298.9666520194483,1565481508107,-237694896200,117.9015885586176,1074071626695,68.60966553311644,284885465272,635447273773,27.10871986124345,458365610600,8350,1166.11,103.5,-0.56,1.25,NULL,135,2.9,2.8,3,2.5,2.9,2.4,0.46,0.65,0.34,187.79354406130267,24.658903089943394,3.493427914231526,1.5625935634772203,4.058074650826964,0.42813284156025105,84.81649927073084,90.82649529676584,33.44854662703144,161.74576517822916,114.15705341540772,179.28736567656375,875.2636126548547,4434.504003038748,109276.05785012049,7.802450956474572,0.3166292844079006,1.6717092129766593,22.194634297854797,131336891859,58746362285,1430032925300,86.86628586393688,-1581.667138257216,262.89898616993753,1346.4302330329876,1116.4024175880768,859.5181919436635
AK홀딩스,006840,기타금융,2020,-13.132164819832651,-266.7138437546878,228.83633165166844,17.099146526129946,-206.3514481246129,2619977218245,2157041980835,684490054677,-344059726542,-13.132164819832651,-13.132164819832651,4152091609064,-6.365724943785217,-344059726542,128999575612,28968951378,-191716473016,-173149227817,2889429546083,1262662062981,1115237952848,709972228133,26.859666352578536,-324.1408008012995,-1093.194185665814,328.83633165166844,1611669522762,-426414531645,135.9766071301789,948293336538,58.839192721896325,405265724715,819987142951,33.88263070919907,333176159150,8590,1180.01,103.03,0.29,0.5,NULL,135,2.9,2.8,3,2.5,2.9,2.4,0.46,0.65,0.34,157.42230916030533,17.669437512136028,-8.456364266228588,-10.088283570039948,-20.93281638817854,-18.910179124450917,73.54206146963482,101.1957245554963,30.410265039061603,-171.748485385242,88.32434152769676,196.74019630424112,-132.0340113719696,-19951.652326567888,95312.7947839606,-1.260547226282102,0.26386803636390993,-1.7378587969443515,-3.0318816961440005,-221554817267,-264310731247,1476614197949,63.10017853473175,-614.4202469221176,177.43139825447417,1077.2481131487325,910.2915763596129,781.7324961324498
AK홀딩스,006840,기타금융,2021,-7.817796486437975,-285.96434526188875,278.31759321037106,17.4703161330009,-320.89518522504443,3167699652090,2661268849899,672145746282,-247644312102,-7.817796486437975,-7.817796486437975,4548736656905,-4.38200915499081,-247644312102,86599716435,28727907050,-9766237791,28477696406,3346377385610,1202359271295,1309912373819,794678674019,28.797278730799857,-528.9491055540464,-1678.8459272745372,378.31759321037106,1873942574814,-521193460205,138.52846433801926,977314930310,52.15287509047626,515233699800,925078696211,33.10833855905296,255677927300,8720,1144.61,109.6,0.52,1,NULL,135,2.9,2.8,3,2.5,2.9,2.4,0.46,0.65,0.34,222.12499233716474,15.987336484280151,-5.2313969849276525,-6.292454419107813,-16.577911569419353,-13.83910705354901,72.18733021972503,122.46213307026903,26.432817768639428,-191.35737495789874,108.94517180444412,235.46570092653917,-116.77139419472398,-15046.245625289062,90760.80278437669,-1.2827120120624254,0.21264686305002856,-26.17977697979236,-4.2413919883868685,-165714944091,-199326056742,1634149313500,69.63910841665057,-607.7780889353552,193.843954522458,1102.4413059839162,708.8509680779456,753.8375516115343
AK홀딩스,006840,기타금융,2022,-3.1727680406309697,-107.28235766733756,290.2507966302069,17.757724920225108,-739.417977525931,3787959855335,3077278770459,732503558503,-120183179682,-3.1727680406309697,-3.1727680406309697,5004334961394,-2.378907845326126,-120183179682,112025110461,36359442604,366475089153,830254324360,3721996781791,1282338179603,1388152251345,888656036531,27.73899553195213,-1155.0303919550113,-3126.453714410576,390.2507966302069,2366670547012,-787852238581,149.90138728274266,1221116016784,51.59636681690654,499496214814,1047537148389,32.029133705243616,227858049200,9160,1292.2,118.78,0.23,3.25,NULL,135,2.9,2.8,3,2.5,2.9,2.4,0.46,0.65,0.34,304.6415576923077,18.761579109004277,-0.5761009741501092,-3.1428135869848486,-9.283706817483694,-7.210642070008063,66.7105233731966,105.69179459341969,25.624547307396746,-19.47998402964949,108.25165104066066,251.2988085541254,-152.40886050888625,-8986.447920715367,96798.05811824532,-1.9139931763640368,0.17768951500028077,0.6217559008625314,-9.290102730558907,-21822473627,-119048517003,1819267723373,75.69357136477196,-480.7957215629026,208.21343701475453,1139.587487313915,860.2904824260465,972.5042850174832
